기준일자,User_ID,기관번호,연체등록일자,연체금액,기관,연체분류,연체사항,세부사항
202501,X0010254691714933659,Y1605029911648266013,202501,5700,상호저축,신용도판단,대출연체,원금이자연체
202502,X0010254691714933659,Y1605029911648266013,202501,5700,상호저축,신용도판단,대출연체,원금이자연체
202312,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202401,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202402,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202403,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202403,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202404,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202405,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202406,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202406,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202407,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202407,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202408,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202408,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202408,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202409,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202409,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202409,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202410,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202410,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202410,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202411,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202411,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202411,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202412,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202412,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202412,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202501,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202501,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202501,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202502,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202502,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202502,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202502,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202503,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202503,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202503,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202503,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202504,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202504,X0214807498644962070,Y4755574378503849999,202311,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202504,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202504,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202505,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202505,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202505,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202506,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202506,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202506,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
