순번,생산라인코드,생산라인명,생산일자,품목코드,품목명,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간
5,L002,전처리2실,2025-08-02,2BA03166,오징어볶음밥E(재),W002,70.528,102.228,137.067,23.226,205.965,72.33
10,C088,냉동밥 취반#1,2025-02-16,2BA03069,CJ낙지볶음밥(재),W003,73.769,117.269,153.123,23.903,211.394,74.75
15,C088,냉동밥 취반#1,2025-02-17,2BA03174,통새우볶음밥(노브랜드)(재),W003,71.66,105.36,140.555,23.464,207.693,79.18
9,D087,냉동밥 내포장#2,2025-02-16,1BA03158,비비고불고기비빔밥200g,W005,71.226,91.926,126.9,23.316,203.637,77.1
12,D088,냉동밥 내포장#1,2025-02-16,1BA03069,CJ낙지볶음밥*5ea,W005,72.245,102.045,137.014,23.312,204.304,76.32
8,D088,냉동밥 내포장#1,2025-02-16,1BA03069,CJ낙지볶음밥*5ea,W005,72.38,123.48,158.026,23.031,198.681,
11,D088,냉동밥 내포장#1,2025-02-16,1BA03069,CJ낙지볶음밥*5ea,W005,72.529,101.629,137.434,23.87,210.213,79.34
14,D088,냉동밥 내포장#1,2025-02-17,1BA03005,낙지볶음밥300g,W005,71.8,106.1,141.484,23.589,210.017,73.13
7,P022,냉동밥 외포장#2,2025-02-16,1BA03158,비비고불고기비빔밥200g,W007,69.082,78.882,113.305,22.949,204.408,
5,D087,냉동밥 내포장#2,2025-02-17,1BA03007,게살볶음밥300g,W005,70.815,89.115,124.517,23.602,209.87,79.55
2,D088,냉동밥 내포장#1,2025-02-17,1BA03163,취나물현미밥1kg,W005,71.817,87.017,122.646,23.753,208.591,79.24
6,D088,냉동밥 내포장#1,2025-02-17,1BA03163,취나물현미밥1kg,W005,72.238,87.238,122.862,23.749,209.488,78.36
8,D088,냉동밥 내포장#1,2025-02-18,1BA03160,탄두리닭가슴살현미볶음밥1kg,W005,71.828,78.028,113.652,23.749,210.699,78.27
7,D088,냉동밥 내포장#1,2025-02-18,1BA03162,야채현미밥H1kg,W005,71.631,85.931,121.62,23.793,210.808,71.42
1,P022,냉동밥 외포장#2,2025-02-16,1BA03007,게살볶음밥300g,W007,72.33,83.63,119.31,23.787,206.763,73.0
25,C088,냉동밥 취반#1,2025-02-21,2BA03093,비비고취나물밥200g(재),W003,72.343,90.543,126.248,23.804,207.723,77.4
31,C088,냉동밥 취반#1,2025-02-21,2BA03066,CJ새우볶음밥(재),W003,72.09,85.69,121.381,23.794,208.63,73.94
26,C088,냉동밥 취반#1,2025-02-21,2BA03004,새우볶음밥300g(재),W003,72.483,88.483,124.242,23.839,211.053,76.14
33,C088,냉동밥 취반#1,2025-02-21,2BA03004,새우볶음밥300g(재),W003,72.109,85.309,120.961,23.768,213.864,71.42
22,D088,냉동밥 내포장#1,2025-02-21,1BA03093,비비고취나물밥200g,W005,71.922,89.922,125.692,23.846,212.889,78.53
24,D088,냉동밥 내포장#1,2025-02-21,1BA03072,CJ새우볶음밥/20개입,W005,71.964,96.064,131.836,23.848,211.741,80.36
27,D088,냉동밥 내포장#1,2025-02-21,1BA03072,CJ새우볶음밥/20개입,W005,72.071,93.071,128.919,23.898,208.902,79.92
32,D088,냉동밥 내포장#1,2025-02-21,1BA03004,새우볶음밥300g,W005,72.065,85.665,121.469,23.869,203.65,78.09
28,P021,냉동밥 외포장#1,2025-02-21,1BA03004,새우볶음밥300g,W007,72.2,90.8,126.498,23.799,207.161,79.41
30,P021,냉동밥 외포장#1,2025-02-21,1BA03004,새우볶음밥300g,W007,71.767,91.267,126.942,23.783,208.371,77.6
29,P021,냉동밥 외포장#1,2025-02-21,1BA03004,새우볶음밥300g,W007,72.393,99.393,135.075,23.788,208.761,75.39
12,C088,냉동밥 취반#1,2025-02-21,2BA03094,비비고곤드레밥200g(재),W003,72.089,106.589,142.317,23.819,214.098,79.37
3,D087,냉동밥 내포장#2,2025-02-21,1BA03157,비비고낙지비빔밥200g,W005,71.434,92.834,128.309,23.65,208.078,74.48
8,D088,냉동밥 내포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W005,71.515,85.115,120.62,23.67,203.764,72.18
11,D088,냉동밥 내포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W005,71.173,80.673,116.253,23.72,205.275,71.68
5,G002,볶음 공정,2025-02-21,2BA03157,비비고낙지비빔밥200g(재),W012,70.981,93.081,128.428,23.564,198.572,77.19
10,P021,냉동밥 외포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W007,71.074,90.174,125.467,23.529,215.803,74.3
17,P021,냉동밥 외포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W007,71.537,93.937,129.311,23.583,210.859,79.27
