순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
8,D088,냉동밥 내포장#1,2025-02-16,13:40,13:50,10,W005211,교육,1BA03069,CJ낙지볶음밥*5ea,충전실
7,P022,냉동밥 외포장#2,2025-02-16,12:30,13:00,30,W007461,기기세팅,1BA03158,비비고불고기비빔밥200g,포장실
24,C088,냉동밥 취반#1,2025-03-03,21:40,22:35,55,W0034B1,품목 교체,2BA03047,시아스야채볶음밥3kg(재),쿠킹실
2,C087,냉동밥 취반#2,2025-03-06,8:30,10:54,144,W003312,전처리,2BA03157,비비고낙지비빔밥200g(재),쿠킹실
15,D087,냉동밥 내포장#2,2025-03-08,19:00,19:00,0,W0054F1,품목 교체,1BA03200,비비고새우볶음밥210g(알밥),충전실
9,D088,냉동밥 내포장#1,2025-03-09,9:00,10:00,60,W0054F2,세부 세척,1BA03211,AAF곤드레나물밥250g(알밥)*,충전실
16,D088,냉동밥 내포장#1,2025-03-09,17:09,18:01,52,W005722,공정,1BA03211,AAF곤드레나물밥250g(알밥)*,충전실
18,C088,냉동밥 취반#1,2025-03-11,5:50,7:16,86,W0034B1,품목 교체,2BA03093,비비고취나물밥200g(재),쿠킹실
16,C087,냉동밥 취반#2,2025-03-14,12:30,13:30,60,W0034C1,별도구작업,2BA03157,비비고낙지비빔밥200g(재),쿠킹실
12,C088,냉동밥 취반#1,2025-03-14,9:30,11:00,90,W0034B2,세부 세척,2BA03174,통새우볶음밥(노브랜드)(재),쿠킹실
24,C088,냉동밥 취반#1,2025-03-15,4:26,5:25,59,W0034B1,품목 교체,2BA03064,CJ해물볶음밥(재),쿠킹실
25,D088,냉동밥 내포장#1,2025-03-15,11:06,11:16,10,W0056S6,기타,1BA03070,CJ해물볶음밥/20개입,충전실
5,D087,냉동밥 내포장#2,2025-03-15,6:45,8:52,127,W0054F1,품목 교체,1BA03158,비비고불고기비빔밥200g,충전실
6,C087,냉동밥 취반#2,2025-03-16,7:40,10:00,140,W0034C1,별도구작업,2BA03200,비비고새우볶음밥210g(알밥)(재),쿠킹실
21,C088,냉동밥 취반#1,2025-03-16,19:20,20:00,40,W003318,볶음,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
25,C088,냉동밥 취반#1,2025-03-17,2:50,3:30,40,W0034C1,별도구작업,2BA03175,매콤낙지볶음밥(노브랜드)(재),쿠킹실
29,C087,냉동밥 취반#2,2025-03-18,6:50,7:30,40,W003721,충진 미종료,2BA03201,비비고닭가슴살볶음밥210g(알밥)(재),쿠킹실
16,D088,냉동밥 내포장#1,2025-03-18,17:17,19:30,133,W005722,공정,1BA03164,퀴노아렌틸콩현미볶음밥1kg,충전실
11,C088,냉동밥 취반#1,2025-03-21,23:10,0:02,52,W0034B1,품목 교체,2BA03065,CJ햄야채볶음밥(재),쿠킹실
41,D088,냉동밥 내포장#1,2025-03-22,4:13,4:37,24,W0054F1,품목 교체,1BA03004,새우볶음밥300g,충전실
14,P021,냉동밥 외포장#1,2025-03-21,11:50,13:32,102,W0079AA,기타,1BA03216,AAF게살새우볶음밥(알밥)*,포장실
6,D088,냉동밥 내포장#1,2025-03-22,10:16,10:32,16,W005722,공정,1BA03211,AAF곤드레나물밥250g(알밥)*,충전실
15,C087,냉동밥 취반#2,2025-03-23,12:00,12:20,20,W003721,충진 미종료,2BA03200,비비고새우볶음밥210g(알밥)(재),쿠킹실
16,C088,냉동밥 취반#1,2025-03-23,13:42,14:30,48,W0034B1,품목 교체,2BA03217,AAF장조림볶음밥(알밥)(재)*,쿠킹실
19,C088,냉동밥 취반#1,2025-03-23,21:30,21:59,29,W003721,충진 미종료,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
23,P021,냉동밥 외포장#1,2025-03-23,22:20,22:54,34,W0079AA,기타,1BA03159,비비고깍두기볶음밥200g,포장실
8,P021,냉동밥 외포장#1,2025-03-24,13:43,15:45,122,W0079AA,기타,1BA03006,김치볶음밥300g,포장실
8,D088,냉동밥 내포장#1,2025-03-25,19:13,20:31,78,W0056S6,기타,1BA03099,새우볶음밥-S 200g,충전실
19,D088,냉동밥 내포장#1,2025-04-07,22:02,23:05,63,W0054F1,품목 교체,1BA03065,CJ햄야채볶음밥*5ea,충전실
22,D088,냉동밥 내포장#1,2025-04-07,23:05,23:56,51,W005722,공정,1BA03065,CJ햄야채볶음밥*5ea,충전실
12,C088,냉동밥 취반#1,2025-04-11,17:30,19:00,90,W0034B2,세부 세척,2BA03034,소후레쉬야채볶음밥3kg(재),쿠킹실
21,D087,냉동밥 내포장#2,2025-04-14,0:10,0:50,40,W005722,공정,1BA03200,비비고새우볶음밥210g(알밥),충전실
10,C088,냉동밥 취반#1,2025-04-15,10:30,12:00,90,W0034B2,세부 세척,2BA03229,야채현미밥H10kg(재),쿠킹실
9,D087,냉동밥 내포장#2,2025-04-15,19:18,21:00,102,W0054F1,품목 교체,1BA03201,비비고닭가슴살볶음밥210g(알밥),충전실
23,D087,냉동밥 내포장#2,2025-04-18,9:57,10:22,25,W005722,공정,1BA03157,비비고낙지비빔밥200g,충전실
15,C088,냉동밥 취반#1,2025-04-20,16:30,17:00,30,W0034B1,품목 교체,2BA03065,CJ햄야채볶음밥(재),쿠킹실
19,C088,냉동밥 취반#1,2025-04-21,2:35,3:35,60,W0034B1,품목 교체,2BA03064,CJ해물볶음밥(재),쿠킹실
26,C087,냉동밥 취반#2,2025-04-22,2:10,3:00,50,W003721,충진 미종료,2BA03217,AAF장조림볶음밥(알밥)(재)*,쿠킹실
16,D088,냉동밥 내포장#1,2025-04-21,16:17,18:54,157,W005722,공정,1BA03094,비비고곤드레밥200g,충전실
22,D088,냉동밥 내포장#1,2025-04-21,23:00,23:49,49,W0054F1,품목 교체,1BA03093,비비고취나물밥200g,충전실
27,D088,냉동밥 내포장#1,2025-04-22,3:52,4:27,35,W0054F1,품목 교체,1BA03176,비비고시래기나물밥200g,충전실
10,D087,냉동밥 내포장#2,2025-04-24,19:32,21:15,103,W0054F2,세부 세척,1BA03216,AAF게살새우볶음밥(알밥)*,충전실
2,L002,전처리2실,2025-04-24,8:00,8:58,58,W002313,관리팀미입고(생산지연),2BA03216,AAF게살새우볶음밥(알밥)(재)*,계량실
5,D088,냉동밥 내포장#1,2025-04-26,13:06,14:29,83,W005722,공정,1BA03094,비비고곤드레밥200g,충전실
11,C087,냉동밥 취반#2,2025-04-27,11:00,11:30,30,W003721,충진 미종료,2BA03213,AAF불곱창볶음밥250g(알밥)(재)*,쿠킹실
9,C088,냉동밥 취반#1,2025-04-27,11:33,13:00,87,W0034B1,품목 교체,2BA03227,무명식당3종나물영양밥(알밥)(재),쿠킹실
9,C088,냉동밥 취반#1,2025-04-29,19:01,20:00,59,W0034B1,품목 교체,2BA03228,탄두리닭가슴살현미볶음밥10kg(재),쿠킹실
33,C087,냉동밥 취반#2,2025-05-03,3:10,4:10,60,W0034B2,세부 세척,2BA03213,AAF불곱창볶음밥250g(알밥)(재)*,쿠킹실
2,D088,냉동밥 내포장#1,2025-05-02,0:49,1:28,39,W005722,공정,1BA03072,CJ새우볶음밥/20개입,충전실
28,C088,냉동밥 취반#1,2025-05-04,5:40,7:00,80,W003721,충진 미종료,2BA03064,CJ해물볶음밥(재),쿠킹실
12,C088,냉동밥 취반#1,2025-05-04,11:00,11:40,40,W003721,충진 미종료,2BA03229,야채현미밥H10kg(재),쿠킹실
13,C088,냉동밥 취반#1,2025-05-04,16:00,17:30,90,W0034B1,품목 교체,2BA03228,탄두리닭가슴살현미볶음밥10kg(재),쿠킹실
18,D087,냉동밥 내포장#2,2025-05-10,5:48,6:30,42,W0054F2,세부 세척,1BA03200,비비고새우볶음밥210g(알밥),충전실
