filename,width,height,aspect_ratio,mean_R,mean_G,mean_B,std_R,std_G,std_B,brightness,contrast,min_brightness,max_brightness,median_brightness,hue,saturation,value,red_ratio,green_ratio,blue_ratio,dark_ratio,bright_ratio,edge_strength,bright_TL,bright_TC,bright_TR,bright_ML,bright_MC,bright_MR,bright_BL,bright_BC,bright_BR
EO_SU_DT_W1_H1_A1A5A4_0001.jpg,1920,1080,1.778,77.5,94.3,115.4,29.3,28.5,28.5,91.6,28.3,32.9,163.2,92.0,213.4,0.329,0.453,0.0,0.001,0.998,0.216,0.0,1.01,124.5,121.5,110.5,97.7,98.0,94.4,62.8,60.6,54.8
EO_SU_DT_W1_H1_A1A5A4_0004.jpg,1920,1080,1.778,92.0,103.0,119.1,31.4,31.7,31.3,101.5,31.5,14.7,165.1,99.3,215.6,0.228,0.467,0.001,0.0,0.999,0.112,0.0,0.99,146.3,131.1,127.3,103.3,103.2,99.3,69.0,68.0,66.1
EO_SU_DT_W1_H1_A1A5_0001.jpg,1920,1080,1.778,103.1,115.9,133.2,33.7,32.4,30.4,114.0,32.4,42.8,207.0,111.1,214.4,0.226,0.522,0.0,0.01,0.98,0.008,0.027,1.03,171.8,135.7,131.6,118.6,95.6,90.7,117.4,84.7,80.1
EO_SU_DT_W1_H1_A1A5_0002.jpg,1920,1080,1.778,89.6,116.3,138.5,36.5,34.8,32.9,110.9,34.6,31.2,186.0,117.4,207.3,0.353,0.543,0.0,0.0,1.0,0.139,0.0,1.2,135.2,134.8,145.8,123.6,124.5,123.0,69.1,68.9,72.8
EO_SU_DT_W1_H1_A1A5_0003.jpg,1920,1080,1.778,77.8,100.4,120.3,25.2,28.7,29.4,95.9,27.6,33.8,146.3,88.0,208.2,0.353,0.472,0.0,0.0,1.0,0.141,0.0,0.9,125.7,128.7,129.6,92.8,93.7,95.6,63.6,64.9,68.4
EO_SU_DT_W1_H1_A1A5_0004.jpg,1920,1080,1.778,92.6,101.1,114.3,27.8,27.8,27.7,100.0,27.7,45.9,163.2,91.8,216.6,0.19,0.448,0.0,0.0,1.0,0.066,0.0,0.79,123.1,131.2,140.0,95.1,99.0,99.6,65.9,70.2,76.3
EO_SU_DT_W1_H1_A1B1C1_0001.jpg,960,540,1.778,76.2,89.9,110.3,23.9,25.5,27.3,88.1,25.1,34.1,146.3,87.8,215.7,0.309,0.432,0.0,0.0,1.0,0.26,0.0,0.92,112.2,111.5,116.8,91.7,90.7,94.0,58.6,57.2,60.7
EO_SU_DT_W1_H1_A1B1C1_0002.jpg,960,540,1.778,106.9,126.1,143.6,38.6,35.3,32.5,122.3,35.6,40.8,204.9,124.1,208.7,0.256,0.563,0.0,0.0,0.999,0.058,0.016,1.83,152.6,155.7,161.6,113.2,128.0,135.6,83.3,83.7,87.3
EO_SU_DT_W1_H1_A1B1C1_0003.jpg,960,540,1.778,64.5,82.4,103.9,24.3,25.6,26.6,79.5,25.1,30.9,142.3,78.1,212.7,0.379,0.407,0.0,0.0,1.0,0.361,0.0,1.0,119.4,101.8,98.3,85.0,77.8,75.0,57.8,50.0,50.8
EO_SU_DT_W1_H1_A1B1C1_0004.jpg,960,540,1.778,90.3,102.3,119.1,28.6,28.7,28.6,100.6,28.6,33.1,154.2,96.4,215.1,0.242,0.467,0.0,0.0,1.0,0.094,0.0,0.98,139.8,129.5,124.1,107.4,101.5,96.4,75.6,66.3,64.7
EO_SU_DT_W1_H1_A1C1D5_0001.jpg,1920,1080,1.778,76.2,91.1,111.4,25.4,26.2,27.5,88.9,25.8,28.9,157.1,88.2,214.7,0.316,0.437,0.0,0.0,1.0,0.24,0.0,0.91,117.6,115.1,112.2,92.9,92.9,91.9,60.1,59.4,58.2
EO_SU_DT_W1_H1_A1C1D5_0002.jpg,1920,1080,1.778,114.4,130.0,144.6,35.3,33.2,31.4,127.0,33.3,30.0,204.9,121.1,209.0,0.209,0.567,0.0,0.0,1.0,0.016,0.003,1.21,162.4,163.2,162.6,126.0,127.2,127.1,90.8,92.3,91.3
EO_SU_DT_W1_H1_A1C1D5_0003.jpg,1920,1080,1.778,72.8,93.8,114.2,23.7,27.1,28.3,89.9,26.1,23.8,140.8,85.9,209.5,0.362,0.448,0.0,0.0,1.0,0.206,0.0,0.91,110.5,118.1,125.9,86.2,91.7,92.8,57.2,60.6,65.9
EO_SU_DT_W1_H1_A1C1D5_0004.jpg,1920,1080,1.778,72.3,93.7,118.9,24.8,27.2,28.6,90.2,26.4,25.1,130.0,87.2,212.4,0.392,0.466,0.0,0.0,1.0,0.205,0.0,0.84,119.7,118.3,115.2,93.9,93.6,91.7,61.2,59.9,58.2
EO_SU_DT_W1_H1_A1C1_0001.jpg,1920,1080,1.778,73.5,91.2,113.6,25.2,26.8,28.1,88.5,26.2,36.9,141.0,90.2,213.5,0.353,0.446,0.0,0.0,1.0,0.258,0.0,0.86,108.6,111.5,118.2,93.9,93.3,98.5,54.7,57.6,60.1
EO_SU_DT_W1_H1_A1C1_0002.jpg,1920,1080,1.778,106.4,124.4,141.5,39.2,35.4,32.5,120.9,35.8,32.8,205.3,120.8,209.3,0.249,0.555,0.0,0.0,0.999,0.077,0.013,1.44,152.4,157.8,157.4,121.3,121.0,128.3,80.2,85.5,84.4
EO_SU_DT_W1_H1_A1C1_0003.jpg,1920,1080,1.778,76.6,98.8,118.9,24.8,28.3,29.3,94.5,27.2,31.8,146.0,87.9,208.5,0.356,0.466,0.0,0.0,1.0,0.158,0.0,0.9,121.0,126.3,129.5,92.1,92.6,95.4,61.7,63.8,68.0
EO_SU_DT_W1_H1_A1C1_0004.jpg,1920,1080,1.778,77.4,87.9,105.3,23.4,24.9,26.0,86.7,24.5,29.8,134.2,83.8,217.5,0.265,0.413,0.0,0.0,1.0,0.275,0.0,0.75,107.4,112.0,118.8,85.0,88.0,92.2,55.7,58.1,63.2
EO_SU_DT_W1_H1_A1D1E5_0001.jpg,1920,1080,1.778,79.2,93.3,113.9,24.5,26.2,28.2,91.4,25.8,23.7,224.9,89.8,215.6,0.305,0.447,0.0,0.0,1.0,0.212,0.0,0.81,116.3,119.0,119.0,93.4,95.2,96.0,60.5,61.9,61.4
EO_SU_DT_W1_H1_A1D1E5_0002.jpg,1920,1080,1.778,109.0,129.0,146.7,39.0,35.5,32.7,125.1,35.8,39.8,206.3,127.1,208.1,0.257,0.575,0.0,0.0,0.999,0.049,0.017,1.46,158.7,155.8,163.3,120.1,126.9,139.3,87.5,84.8,89.1
EO_SU_DT_W1_H1_A1D1E5_0003.jpg,1920,1080,1.778,111.7,121.8,130.2,39.2,36.0,32.2,119.8,36.3,23.8,206.3,111.9,207.2,0.142,0.511,0.016,0.104,0.798,0.008,0.072,1.45,178.6,157.3,136.6,114.1,110.7,98.3,111.2,94.0,77.1
EO_SU_DT_W1_H1_A1D1E5_0004.jpg,1920,1080,1.778,72.7,91.9,115.6,24.0,26.5,28.1,88.9,25.9,29.8,147.1,86.0,213.1,0.371,0.453,0.0,0.0,1.0,0.231,0.0,0.81,115.7,114.3,118.1,90.2,90.5,93.7,59.0,58.0,60.2
EO_SU_DT_W1_H1_A1D1_0001.jpg,1920,1080,1.778,71.6,89.8,112.6,25.7,26.7,28.0,86.9,26.2,25.9,237.0,89.9,213.4,0.364,0.441,0.0,0.0,1.0,0.268,0.0,0.9,113.6,108.8,109.2,97.2,92.7,93.3,56.9,54.1,56.6
EO_SU_DT_W1_H1_A1D1_0002.jpg,1920,1080,1.778,101.5,121.2,139.2,38.7,35.0,32.6,117.4,35.4,31.1,219.1,120.3,208.6,0.27,0.546,0.0,0.0,1.0,0.097,0.0,1.25,161.2,151.8,136.9,118.4,128.9,122.8,88.8,78.9,68.9
EO_SU_DT_W1_H1_A1D1_0003.jpg,1920,1080,1.778,67.0,88.0,110.0,23.3,26.4,28.0,84.2,25.4,30.0,144.4,80.0,210.7,0.391,0.431,0.0,0.0,1.0,0.271,0.0,0.9,115.5,110.1,115.0,82.3,80.7,85.6,56.4,54.1,58.4
EO_SU_DT_W1_H1_A1D1_0004.jpg,1920,1080,1.778,86.1,98.6,116.3,27.9,28.3,28.5,96.9,28.1,30.9,146.2,93.1,215.1,0.26,0.456,0.0,0.0,1.0,0.134,0.0,0.84,132.7,128.6,118.3,103.6,99.2,93.0,69.1,65.8,61.6
EO_SU_DT_W1_H1_A1E1_0001.jpg,1920,1080,1.778,89.9,103.9,123.7,26.8,27.1,27.7,101.9,27.0,26.7,206.3,101.8,215.2,0.274,0.485,0.0,0.0,0.999,0.016,0.002,0.96,139.4,131.4,125.1,98.8,89.6,92.4,89.5,79.5,71.9
EO_SU_DT_W1_H1_A1E1_0002.jpg,1920,1080,1.778,110.6,131.4,149.2,39.2,35.3,32.2,127.2,35.7,42.0,205.3,130.3,207.7,0.258,0.585,0.0,0.0,0.999,0.04,0.019,1.43,156.6,159.9,165.1,126.0,134.2,138.9,84.9,87.9,91.0
EO_SU_DT_W1_H1_A1E1_0003.jpg,1920,1080,1.778,105.1,117.1,126.7,32.9,31.8,29.9,114.6,31.8,32.2,199.0,109.2,206.8,0.17,0.497,0.001,0.036,0.945,0.029,0.0,0.97,137.3,149.7,166.5,102.2,108.3,112.9,71.9,83.2,99.4
EO_SU_DT_W1_H1_A1E1_0004.jpg,1920,1080,1.778,94.8,105.9,121.5,30.1,29.6,28.9,104.4,29.5,18.7,166.3,99.6,215.1,0.22,0.476,0.0,0.0,1.0,0.069,0.0,0.85,148.6,132.2,128.1,110.2,103.7,98.8,82.5,69.3,65.9
