filename,width,height,aspect_ratio,mean_R,mean_G,mean_B,std_R,std_G,std_B,brightness,contrast,min_brightness,max_brightness,median_brightness,hue,saturation,value,red_ratio,green_ratio,blue_ratio,dark_ratio,bright_ratio,edge_strength,bright_TL,bright_TC,bright_TR,bright_ML,bright_MC,bright_MR,bright_BL,bright_BC,bright_BR
IR_SU_NT_W1_H1_A1A5A4_0001.jpg,1920,1080,1.778,51.5,51.5,51.5,12.3,12.3,12.3,51.5,12.3,33.0,205.0,52.0,0.0,0.0,0.202,0.0,0.0,0.0,0.887,0.0,0.75,54.8,55.3,55.9,57.5,60.8,58.9,40.0,40.1,40.2
IR_SU_NT_W1_H1_A1A5A4_0003.jpg,1920,1080,1.778,60.9,60.9,60.9,15.1,15.1,15.1,60.9,15.1,35.0,205.0,59.0,0.0,0.0,0.239,0.0,0.0,0.0,0.606,0.0,0.75,86.3,75.5,66.1,61.3,59.4,59.1,49.9,46.4,43.8
IR_SU_NT_W1_H1_A1A5_0001.jpg,1920,1080,1.778,51.2,51.2,51.2,10.3,10.3,10.3,51.2,10.3,33.0,199.0,52.0,0.0,0.0,0.201,0.0,0.0,0.0,0.895,0.0,0.72,56.4,55.2,55.0,57.7,57.7,58.0,40.6,40.1,40.0
IR_SU_NT_W1_H1_A1A5_0002.jpg,1920,1080,1.778,45.3,45.3,45.3,9.0,9.0,9.0,45.3,9.0,32.0,206.0,44.0,0.0,0.0,0.178,0.0,0.0,0.0,0.958,0.0,0.7,49.5,45.9,43.6,53.4,52.4,50.8,38.2,37.4,36.5
IR_SU_NT_W1_H1_A1A5_0003.jpg,1920,1080,1.778,45.4,45.4,45.4,7.6,7.6,7.6,45.4,7.6,33.0,194.0,46.0,0.0,0.0,0.178,0.0,0.0,0.0,0.98,0.0,0.69,47.6,47.6,47.5,51.0,50.3,50.6,37.9,37.9,37.9
IR_SU_NT_W1_H1_A1A5_0004.jpg,1920,1080,1.778,51.1,51.1,51.1,9.7,9.7,9.7,51.1,9.7,35.0,206.0,52.0,0.0,0.0,0.201,0.0,0.0,0.0,0.913,0.0,0.7,57.6,56.0,53.8,57.1,56.9,55.9,41.5,41.1,40.5
IR_SU_NT_W1_H1_A1B1C1_0002.jpg,960,540,1.778,43.4,43.4,43.4,8.1,8.1,8.1,43.4,8.1,31.0,199.0,42.0,0.0,0.0,0.17,0.0,0.0,0.0,0.972,0.0,0.73,42.4,43.2,43.9,50.8,50.7,50.2,36.2,36.7,36.9
IR_SU_NT_W1_H1_A1B1C1_0003.jpg,960,540,1.778,45.7,45.7,45.7,8.7,8.7,8.7,45.7,8.7,33.0,208.0,46.0,0.0,0.0,0.179,0.0,0.0,0.0,0.974,0.0,0.76,47.5,47.8,47.8,53.2,50.6,50.6,37.9,38.0,38.0
IR_SU_NT_W1_H1_A1B1C1_0004.jpg,960,540,1.778,49.0,49.0,49.0,9.1,9.1,9.1,49.0,9.1,35.0,194.0,49.0,0.0,0.0,0.192,0.0,0.0,0.0,0.921,0.0,0.73,51.8,51.2,52.6,55.7,55.2,55.3,39.8,39.5,39.8
IR_SU_NT_W1_H1_A1C1D5_0001.jpg,1920,1080,1.778,50.8,50.8,50.8,10.0,10.0,10.0,50.8,10.0,34.0,201.0,52.0,0.0,0.0,0.199,0.0,0.0,0.0,0.9,0.0,0.71,53.6,54.9,57.0,57.2,56.8,57.7,39.7,40.0,40.7
IR_SU_NT_W1_H1_A1C1D5_0002.jpg,1920,1080,1.778,52.3,52.3,52.3,13.4,13.4,13.4,52.3,13.4,32.0,203.0,51.0,0.0,0.0,0.205,0.0,0.0,0.0,0.828,0.0,0.75,53.6,55.6,54.2,63.9,64.0,61.1,38.9,39.8,39.2
