Unnamed: 0,고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료
0,C-10001,여성,37,Yes,No,0,2,Yes,신용카드,No,Yes,Yes,Yes,16,2024-04-01,2026-01-01,No,65,,2205,3,47910
1,C-10002,남성,46,No,No,0,0,No,신용카드,No,No,No,No,10,2024-04-01,2026-01-01,No,66,,5414,5,12090
2,C-10003,남성,50,No,No,0,0,Yes,계좌이체,No,No,No,Yes,30,2024-10-01,2025-02-01,Yes,71,Competitor,4479,1,38080
3,C-10004,남성,78,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,4,2024-06-01,2025-07-01,Yes,99,Dissatisfaction,3714,1,31410
4,C-10005,여성,75,Yes,No,0,3,Yes,신용카드,No,No,Yes,Yes,11,2025-07-01,2025-10-01,Yes,68,Dissatisfaction,3464,1,8360
5,C-10006,여성,23,No,Yes,1,0,Yes,신용카드,No,No,Yes,Yes,73,2024-04-01,2026-01-01,No,55,,5108,3,0
6,C-10007,여성,67,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,14,2019-02-01,2026-01-01,No,26,,5011,3,11300
7,C-10008,남성,52,Yes,No,0,8,Yes,신용카드,Yes,No,Yes,No,7,2019-10-01,2026-01-01,No,49,,4604,4,14690
8,C-10009,여성,68,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,21,2024-06-01,2026-01-01,No,34,,5525,3,11870
9,C-10010,여성,43,Yes,Yes,1,3,Yes,신용카드,Yes,Yes,Yes,Yes,14,2019-08-01,2026-01-01,No,25,,5509,3,32210
10,C-10011,남성,47,No,No,0,0,No,신용카드,Yes,No,Yes,Yes,10,2020-07-01,2026-01-01,No,54,,5435,4,0
11,C-10012,여성,25,Yes,Yes,2,2,Yes,신용카드,Yes,Yes,Yes,Yes,59,2018-12-31,2026-01-01,No,52,,6252,3,18080
12,C-10013,여성,58,Yes,No,0,0,Yes,계좌이체,No,No,No,Yes,10,2024-08-01,2026-01-01,No,57,,5536,3,21130
13,C-10014,여성,32,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2018-12-31,2026-01-01,No,53,,5513,3,2600
14,C-10015,여성,39,No,No,0,0,No,계좌이체,Yes,Yes,Yes,Yes,19,2020-05-01,2026-01-01,No,37,,5795,3,0
15,C-10016,여성,58,Yes,Yes,2,9,Yes,신용카드,No,Yes,No,Yes,12,2019-02-01,2026-01-01,No,26,,4865,5,30850
16,C-10017,여성,52,Yes,Yes,1,0,No,신용카드,Yes,No,Yes,Yes,20,2022-02-28,2026-01-01,No,37,,3607,4,0
17,C-10018,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2024-12-01,2026-01-01,No,50,,4432,4,8810
18,C-10019,남성,79,No,No,0,0,No,신용카드,Yes,No,No,Yes,17,2022-02-28,2025-12-01,Yes,92,Dissatisfaction,2654,1,12090
19,C-10020,남성,67,No,No,0,0,Yes,계좌이체,No,No,No,Yes,9,2025-07-01,2025-08-01,Yes,85,Competitor,5437,3,0
20,C-10021,여성,79,Yes,No,0,0,No,계좌이체,No,No,No,No,0,2020-11-01,2026-01-01,No,61,,4015,3,35480
21,C-10022,여성,26,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,52,2024-08-01,2025-09-01,Yes,75,Other,2973,1,0
22,C-10023,여성,30,Yes,Yes,2,1,Yes,계좌이체,No,No,No,Yes,30,2023-02-01,2026-01-01,No,78,,3585,4,39440
23,C-10024,여성,22,No,No,0,0,No,신용카드,No,No,No,No,0,2024-10-01,2026-01-01,No,59,,5634,4,3500
24,C-10025,여성,34,Yes,No,0,0,No,신용카드,No,No,No,No,0,2025-04-01,2025-08-01,Yes,81,Price,4133,1,14010
25,C-10027,여성,37,Yes,Yes,3,10,Yes,계좌이체,No,Yes,Yes,No,57,2020-06-01,2026-01-01,No,65,,5892,3,39550
26,C-10028,남성,42,Yes,Yes,3,3,No,신용카드,No,No,No,No,0,2020-07-01,2026-01-01,No,60,,6393,4,22260
27,C-10029,남성,64,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2022-11-01,2026-01-01,No,26,,3722,4,42600
28,C-10030,여성,47,Yes,Yes,3,5,No,계좌이체,No,No,No,No,0,2019-04-01,2026-01-01,No,76,,4131,5,43390
29,C-10031,남성,23,No,No,0,1,No,신용카드,No,No,No,Yes,51,2021-12-01,2026-01-01,No,55,,5263,5,48590
30,C-10032,여성,48,Yes,No,0,5,No,계좌이체,No,No,No,No,0,2020-12-01,2026-01-01,No,20,,6061,3,56050
31,C-10033,남성,28,Yes,No,0,9,No,계좌이체,Yes,Yes,Yes,Yes,41,2019-07-01,2026-01-01,No,42,,5845,3,49490
32,C-10034,여성,28,No,No,0,0,No,계좌이체,No,No,No,No,0,2019-06-01,2026-01-01,No,72,,5462,5,26100
33,C-10035,남성,33,Yes,Yes,1,4,Yes,신용카드,Yes,No,Yes,Yes,22,2023-05-01,2026-01-01,No,29,,3899,3,0
34,C-10036,여성,31,No,Yes,3,0,Yes,계좌이체,No,No,No,No,0,2021-06-01,2026-01-01,No,59,,4797,4,34580
35,C-10037,여성,37,Yes,No,0,2,Yes,계좌이체,Yes,No,No,Yes,9,2020-06-01,2026-01-01,No,42,,5875,3,5760
36,C-10038,여성,60,Yes,No,0,4,Yes,계좌이체,Yes,Yes,No,Yes,14,2020-02-01,2026-01-01,No,26,,5238,3,18530
37,C-10039,여성,48,Yes,Yes,3,3,No,계좌이체,No,No,No,No,0,2023-12-31,2026-01-01,No,57,,5190,5,21810
38,C-10040,남성,60,Yes,Yes,3,7,Yes,계좌이체,No,No,No,Yes,23,2022-10-01,2026-01-01,No,46,,4994,3,28590
39,C-10041,남성,69,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,27,2025-08-01,2025-10-01,Yes,89,Competitor,3475,2,49720
40,C-10042,여성,20,No,No,0,0,No,신용카드,No,Yes,Yes,Yes,59,2022-10-01,2026-01-01,No,54,,2297,3,55260
41,C-10043,남성,31,Yes,Yes,3,1,No,신용카드,No,No,No,No,0,2022-12-01,2026-01-01,No,65,,5230,3,26780
42,C-10044,남성,46,Yes,No,0,5,Yes,계좌이체,Yes,Yes,No,Yes,19,2022-12-01,2026-01-01,No,66,,3807,3,7350
43,C-10045,남성,57,No,Yes,1,0,Yes,신용카드,Yes,Yes,Yes,Yes,21,2022-08-01,2026-01-01,No,73,,3290,4,0
44,C-10046,남성,27,No,No,0,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2018-12-31,2026-01-01,No,76,,6322,3,36610
45,C-10047,여성,64,No,No,0,0,No,신용카드,No,Yes,No,Yes,12,2023-11-01,2026-01-01,No,57,,4298,3,27120
46,C-10048,여성,38,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,2,2022-02-03,2026-01-01,No,36,,3244,3,41130
47,C-10049,남성,54,No,No,0,0,Yes,신용카드,No,No,No,Yes,9,2024-12-01,2026-01-01,No,57,,4427,5,48590
48,C-10050,남성,50,No,No,0,0,Yes,계좌이체,No,No,Yes,No,17,2022-08-01,2026-01-01,No,60,,4561,5,2370
49,C-10051,남성,25,No,No,0,0,No,계좌이체,Yes,Yes,Yes,No,69,2019-09-01,2026-01-01,No,67,,4761,3,6220
50,C-10052,여성,35,Yes,Yes,3,1,Yes,신용카드,No,No,Yes,Yes,53,2021-10-01,2026-01-01,No,43,,4447,3,27570
51,C-10053,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,23,2021-09-01,2026-01-01,No,59,,5742,3,0
52,C-10054,남성,51,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,15,2022-02-28,2025-07-01,Yes,93,Competitor,2832,1,42600
53,C-10055,여성,78,No,Yes,1,0,Yes,계좌이체,No,Yes,No,No,29,2024-05-01,2025-04-01,Yes,85,Dissatisfaction,5980,1,13110
54,C-10056,여성,30,Yes,No,0,10,No,계좌이체,No,No,No,Yes,85,2024-07-01,2026-01-01,No,74,,3442,3,48250
55,C-10057,남성,58,No,No,0,0,Yes,이체/메일확인,Yes,No,No,Yes,15,2022-07-01,2026-01-01,No,48,,5039,3,0
56,C-10058,남성,26,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2022-10-01,2026-01-01,No,39,,3792,5,23390
57,C-10059,남성,66,Yes,No,0,3,Yes,계좌이체,No,Yes,No,Yes,28,2019-02-28,2026-01-01,No,57,,5291,5,0
58,C-10060,여성,20,No,No,0,10,Yes,계좌이체,No,Yes,Yes,Yes,73,2020-04-01,2026-01-01,No,65,,6026,5,0
