No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM325131325,1,Etching,340.0,1522.0,3644.0,5732.0,72.651,52.103,1.03,13,28,01-03-2026
NOLSM326132326,2,Etching,265.0,1513.0,3631.0,5729.0,70.267,52.004,1.038,13,29,01-03-2026
NOLSM327133327,3,Etching,411.0,1568.0,3653.0,5729.0,71.231,50.846,1.005,13,30,01-03-2026
NOLSM328134328,1,Etching,328.0,1326.0,3661.0,5718.0,71.295,51.665,1.025,13,31,01-03-2026
NOLSM329135329,2,Etching,219.0,1451.0,3637.0,5729.0,72.983,50.787,1.038,13,32,01-03-2026
NOLSM330136330,3,Etching,272.0,1540.0,3661.0,5704.0,70.207,51.687,1.023,13,33,01-03-2026
NOLSM331137331,1,Etching,429.0,1624.0,3617.0,5728.0,70.688,50.834,1.034,13,34,01-03-2026
NOLSM332138332,2,Etching,561.0,1478.0,3687.0,5734.0,69.496,51.711,1.047,13,35,01-03-2026
NOLSM333139333,3,Etching,-45.0,1414.0,3641.0,5731.0,70.06,51.141,1.047,13,36,01-03-2026
NOLSM3341310334,1,Etching,404.0,1635.0,3653.0,5695.0,71.617,51.857,1.045,13,37,01-03-2026
NOLSM3351311335,2,Etching,408.0,1553.0,3651.0,5718.0,70.261,50.744,1.032,13,38,01-03-2026
NOLSM3361312336,3,Etching,362.0,1463.0,3683.0,5698.0,71.033,50.902,1.03,13,39,01-03-2026
NOLSM3371313337,1,Etching,308.0,1498.0,3621.0,5732.0,71.137,51.002,1.035,13,40,01-03-2026
NOLSM3381314338,2,Etching,604.0,1524.0,3653.0,5721.0,71.234,50.947,1.045,13,41,01-03-2026
NOLSM3391315339,3,Etching,280.0,1571.0,3642.0,5711.0,71.249,50.451,1.063,13,42,01-03-2026
NOLSM3401316340,1,Etching,282.0,1442.0,3636.0,5694.0,71.169,50.615,1.038,13,43,01-03-2026
NOLSM3411317341,2,Etching,477.0,1561.0,3667.0,5723.0,71.153,51.318,1.023,13,44,01-03-2026
NOLSM3421318342,3,Etching,350.0,1690.0,3659.0,5691.0,71.196,50.143,1.041,13,45,01-03-2026
NOLSM3431319343,1,Etching,353.0,1544.0,3649.0,5706.0,71.174,51.616,1.006,13,46,01-03-2026
NOLSM3441320344,2,Etching,278.0,1463.0,3673.0,5727.0,71.287,51.408,1.02,13,47,01-03-2026
NOLSM3451321345,3,Etching,378.0,1616.0,3683.0,5709.0,71.17,51.257,1.026,13,48,01-03-2026
NOLSM3461322346,1,Etching,317.0,1449.0,3617.0,5739.0,71.164,49.726,1.013,13,49,01-03-2026
NOLSM3471323347,2,Etching,473.0,1576.0,3672.0,5738.0,71.119,51.228,1.017,13,50,01-03-2026
NOLSM3481324348,3,Etching,499.0,1450.0,3649.0,5730.0,71.256,51.375,1.052,13,51,01-03-2026
NOLSM3491325349,1,Etching,222.0,1390.0,3666.0,5738.0,71.402,51.31,1.067,13,52,01-03-2026
NOLSM3501326350,2,Etching,41.0,1646.0,3662.0,5722.0,71.287,51.489,1.03,13,53,01-03-2026
NOLSM3511327351,3,Etching,65.0,1469.0,3652.0,5725.0,71.538,50.43,1.029,13,54,01-03-2026
NOLSM325131,1,Etching,340.0,1522.0,3644.0,5732.0,72.651,52.103,1.03,13,1,01-03-2026
NOLSM326132,1,Etching,265.0,1513.0,3631.0,5729.0,70.267,52.004,1.038,13,2,01-03-2026
NOLSM327133,2,Etching,411.0,1568.0,3653.0,5729.0,71.231,50.846,1.005,13,3,01-03-2026
NOLSM328134,3,Etching,328.0,1326.0,3661.0,5718.0,71.295,51.665,1.025,13,4,01-03-2026
NOLSM329135,3,Etching,219.0,1451.0,3637.0,5729.0,72.983,50.787,1.038,13,5,01-03-2026
NOLSM330136,2,Etching,272.0,1540.0,3661.0,5704.0,70.207,51.687,1.023,13,6,01-03-2026
NOLSM331137,1,Etching,429.0,1624.0,3617.0,5728.0,70.688,50.834,1.034,13,7,01-03-2026
NOLSM332138,1,Etching,561.0,1478.0,3687.0,5734.0,69.496,51.711,1.047,13,8,01-03-2026
NOLSM333139,2,Etching,-45.0,1414.0,3641.0,5731.0,70.06,51.141,1.047,13,9,01-03-2026
NOLSM3341310,3,Etching,404.0,1635.0,3653.0,5695.0,71.617,51.857,1.045,13,10,01-03-2026
NOLSM3351311,3,Etching,408.0,1553.0,3651.0,5718.0,70.261,50.744,1.032,13,11,01-03-2026
NOLSM3361312,2,Etching,362.0,1463.0,3683.0,5698.0,72.521,50.902,1.03,13,12,01-03-2026
NOLSM3371313,1,Etching,308.0,1498.0,3621.0,5732.0,70.816,51.002,1.035,13,13,01-03-2026
NOLSM3381314,1,Etching,604.0,1524.0,3653.0,5721.0,70.79,50.947,1.045,13,14,01-03-2026
NOLSM3391315,2,Etching,280.0,1571.0,3642.0,5711.0,71.372,50.451,1.063,13,15,01-03-2026
NOLSM3401316,3,Etching,282.0,1442.0,3636.0,5694.0,71.939,50.615,1.038,13,16,01-03-2026
NOLSM3411317,3,Etching,477.0,1561.0,3667.0,5723.0,72.12,51.318,1.023,13,17,01-03-2026
NOLSM3421318,2,Etching,350.0,1690.0,3659.0,5691.0,72.795,50.143,1.041,13,18,01-03-2026
NOLSM3431319,1,Etching,353.0,1544.0,3649.0,5706.0,70.126,51.616,1.006,13,19,01-03-2026
NOLSM3441320,1,Etching,278.0,1463.0,3673.0,5727.0,70.69,51.408,1.02,13,20,01-03-2026
NOLSM3451321,3,Etching,378.0,1616.0,3683.0,5709.0,71.316,51.257,1.026,13,21,01-03-2026
NOLSM3461322,3,Etching,317.0,1449.0,3617.0,5739.0,70.598,49.726,1.013,13,22,01-03-2026
NOLSM3471323,2,Etching,473.0,1576.0,3672.0,5738.0,70.318,51.228,1.017,13,23,01-03-2026
NOLSM3481324,1,Etching,499.0,1450.0,3649.0,5730.0,69.975,51.375,1.052,13,24,01-03-2026
NOLSM3491325,1,Etching,222.0,1390.0,3666.0,5738.0,71.688,51.31,1.067,13,25,01-03-2026
NOLSM3501326,2,Etching,41.0,1646.0,3662.0,5722.0,71.438,51.489,1.03,13,26,01-03-2026
NOLSM3511327,3,Etching,65.0,1469.0,3652.0,5725.0,71.538,50.43,1.029,13,27,01-03-2026
NOLSM352141352,1,Etching,166.0,1518.0,3663.0,5700.0,71.259,51.068,1.033,14,28,02-03-2026
NOLSM353142353,2,Etching,355.0,1605.0,3665.0,5711.0,71.105,51.201,1.023,14,29,02-03-2026
NOLSM354143354,3,Etching,341.0,1635.0,3640.0,5699.0,71.861,49.342,1.036,14,30,02-03-2026
NOLSM355144355,1,Etching,304.0,1499.0,3654.0,5712.0,72.316,51.908,1.037,14,31,02-03-2026
NOLSM356145356,2,Etching,443.0,1421.0,3625.0,5707.0,71.392,51.661,1.014,14,32,02-03-2026
