No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
NOLSM325131325,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.934,103.433,854.0,154,13,28,01-03-2026
NOLSM326132326,2,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.618,105.552,895.0,156,13,29,01-03-2026
NOLSM327133327,3,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.895,102.598,898.0,152,13,30,01-03-2026
NOLSM328134328,1,Implantation,8885140000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.566,102.963,879.0,155,13,31,01-03-2026
NOLSM329135329,2,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31986.009,101.419,882.0,155,13,32,01-03-2026
NOLSM330136330,3,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.632,103.847,871.0,152,13,33,01-03-2026
NOLSM331137331,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.229,102.84,916.0,157,13,34,01-03-2026
NOLSM332138332,2,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.39,104.368,891.0,153,13,35,01-03-2026
NOLSM333139333,3,Implantation,1.45e+16,6.48e+16,-8789590000000000.0,3.01e+17,6e+17,31810.414,103.625,903.0,153,13,36,01-03-2026
NOLSM3341310334,1,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.699,102.847,883.0,161,13,37,01-03-2026
NOLSM3351311335,2,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.868,103.298,862.0,154,13,38,01-03-2026
NOLSM3361312336,3,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.102,104.54,892.0,154,13,39,01-03-2026
NOLSM3371313337,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.477,103.231,902.0,158,13,40,01-03-2026
NOLSM3381314338,2,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.207,101.561,895.0,153,13,41,01-03-2026
NOLSM3391315339,3,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.776,102.869,904.0,155,13,42,01-03-2026
NOLSM3401316340,1,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.324,102.759,882.0,155,13,43,01-03-2026
NOLSM3411317341,2,Implantation,7834450000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.392,105.126,896.0,150,13,44,01-03-2026
NOLSM3421318342,3,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.426,100.703,898.0,155,13,45,01-03-2026
NOLSM3431319343,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31661.976,101.119,891.0,149,13,46,01-03-2026
NOLSM3441320344,2,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.849,103.203,880.0,156,13,47,01-03-2026
NOLSM3451321345,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.567,102.207,878.0,156,13,48,01-03-2026
NOLSM3461322346,1,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.365,101.874,912.0,155,13,49,01-03-2026
NOLSM3471323347,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.743,101.707,914.0,155,13,50,01-03-2026
NOLSM3481324348,3,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.396,102.811,899.0,156,13,51,01-03-2026
NOLSM3491325349,1,Implantation,9265880000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.247,102.598,903.0,157,13,52,01-03-2026
NOLSM3501326350,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31221.028,104.234,879.0,155,13,53,01-03-2026
NOLSM3511327351,3,Implantation,7195690000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.163,100.57,890.0,157,13,54,01-03-2026
NOLSM325131,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.934,103.433,854.0,154,13,1,01-03-2026
NOLSM326132,1,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.618,105.552,895.0,156,13,2,01-03-2026
NOLSM327133,2,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.895,102.598,898.0,152,13,3,01-03-2026
NOLSM328134,3,Implantation,8885140000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.566,102.963,879.0,155,13,4,01-03-2026
NOLSM329135,3,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31986.009,101.419,882.0,155,13,5,01-03-2026
NOLSM330136,2,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.632,103.847,871.0,152,13,6,01-03-2026
NOLSM331137,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.229,102.84,916.0,157,13,7,01-03-2026
NOLSM332138,1,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.39,104.368,891.0,153,13,8,01-03-2026
NOLSM333139,2,Implantation,1.45e+16,6.48e+16,-8789590000000000.0,3.01e+17,6e+17,31810.414,103.625,903.0,153,13,9,01-03-2026
NOLSM3341310,3,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.699,102.847,883.0,161,13,10,01-03-2026
NOLSM3351311,3,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.868,103.298,862.0,154,13,11,01-03-2026
