No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM325131325,2,Oxidation,dry,1214.307948,O2,26.69,0.203,120,713.132,13,28,01-03-2026
NOLSM326132326,2,Oxidation,dry,978.1107916,O2,30.86,0.217,137,714.295,13,29,01-03-2026
NOLSM327133327,2,Oxidation,dry,1176.019149,O2,31.07,0.218,116,710.114,13,30,01-03-2026
NOLSM328134328,2,Oxidation,dry,933.4427329,O2,31.04,0.196,143,710.617,13,31,01-03-2026
NOLSM329135329,2,Oxidation,wet,1140.598752,H2O,31.37,0.215,76,711.632,13,32,01-03-2026
NOLSM330136330,2,Oxidation,dry,1311.225435,O2,41.03,0.213,114,710.084,13,33,01-03-2026
NOLSM331137331,2,Oxidation,dry,938.2766769,O2,30.24,0.211,116,714.56,13,34,01-03-2026
NOLSM332138332,2,Oxidation,dry,1033.815333,O2,30.45,0.199,218,700.741,13,35,01-03-2026
NOLSM333139333,2,Oxidation,wet,1154.565473,H2O,32.35,0.217,119,715.399,13,36,01-03-2026
NOLSM3341310334,2,Oxidation,wet,992.3573582,H2O,35.26,0.202,-2,687.497,13,37,01-03-2026
NOLSM3351311335,2,Oxidation,wet,1079.90641,H2O,35.17,0.195,144,722.57,13,38,01-03-2026
NOLSM3361312336,2,Oxidation,wet,1032.77772,H2O,38.24,0.199,58,721.595,13,39,01-03-2026
NOLSM3371313337,2,Oxidation,wet,1022.376643,H2O,32.81,0.201,144,708.792,13,40,01-03-2026
NOLSM3381314338,2,Oxidation,dry,1132.062956,O2,38.2,0.219,119,702.557,13,41,01-03-2026
NOLSM3391315339,2,Oxidation,dry,1158.231481,O2,26.67,0.198,118,702.259,13,42,01-03-2026
NOLSM3401316340,2,Oxidation,dry,1128.751217,O2,36.07,0.191,98,715.371,13,43,01-03-2026
NOLSM3411317341,2,Oxidation,dry,937.5402487,O2,35.73,0.211,94,708.346,13,44,01-03-2026
NOLSM3421318342,2,Oxidation,wet,1253.34398,H2O,25.39,0.2,174,720.639,13,45,01-03-2026
NOLSM3431319343,2,Oxidation,dry,921.1975736,O2,36.43,0.209,70,711.451,13,46,01-03-2026
NOLSM3441320344,2,Oxidation,dry,1106.970806,O2,37.56,0.208,87,705.974,13,47,01-03-2026
NOLSM3451321345,2,Oxidation,dry,1168.40681,O2,32.8,0.205,113,702.475,13,48,01-03-2026
NOLSM3461322346,2,Oxidation,wet,1144.326323,H2O,31.86,0.204,106,701.78,13,49,01-03-2026
NOLSM3471323347,2,Oxidation,dry,1121.52316,O2,39.51,0.217,50,711.92,13,50,01-03-2026
NOLSM3481324348,2,Oxidation,wet,1264.814709,H2O,32.88,0.201,112,696.968,13,51,01-03-2026
NOLSM3491325349,2,Oxidation,wet,980.4659023,H2O,38.11,0.194,78,706.048,13,52,01-03-2026
NOLSM3501326350,2,Oxidation,dry,1078.143907,O2,39.93,0.197,80,707.196,13,53,01-03-2026
NOLSM3511327351,2,Oxidation,dry,1053.962633,O2,35.63,0.218,89,715.913,13,54,01-03-2026
NOLSM325131,3,Oxidation,dry,1198.323089,O2,26.69,0.203,120,705.284,13,1,01-03-2026
NOLSM326132,1,Oxidation,dry,959.1715156,O2,30.86,0.217,137,690.8,13,2,01-03-2026
NOLSM327133,1,Oxidation,dry,1175.582493,O2,31.07,0.218,116,702.641,13,3,01-03-2026
NOLSM328134,1,Oxidation,dry,927.5054921,O2,31.04,0.196,143,704.124,13,4,01-03-2026
NOLSM329135,1,Oxidation,wet,1120.908253,H2O,31.37,0.215,76,707.911,13,5,01-03-2026
NOLSM330136,1,Oxidation,dry,1310.70949,O2,41.03,0.213,114,712.218,13,6,01-03-2026
NOLSM331137,1,Oxidation,dry,933.3671298,O2,30.24,0.211,116,714.56,13,7,01-03-2026
NOLSM332138,1,Oxidation,dry,1033.436679,O2,30.45,0.199,218,700.741,13,8,01-03-2026
NOLSM333139,1,Oxidation,wet,1137.05619,H2O,32.35,0.217,119,715.399,13,9,01-03-2026
NOLSM3341310,1,Oxidation,wet,978.1492813,H2O,35.26,0.202,-2,687.497,13,10,01-03-2026
NOLSM3351311,2,Oxidation,wet,1077.329932,H2O,35.17,0.195,144,722.57,13,11,01-03-2026
NOLSM3361312,2,Oxidation,wet,1013.429731,H2O,38.24,0.199,58,721.595,13,12,01-03-2026
NOLSM3371313,2,Oxidation,wet,1014.428039,H2O,32.81,0.201,144,708.792,13,13,01-03-2026
NOLSM3381314,2,Oxidation,dry,1124.607013,O2,38.2,0.219,119,702.557,13,14,01-03-2026
