제품번호,물품대분류,상품명,물품판매량,제품단가
P100000,FC,(1+1) 좋은느낌 입는 오버나이트 대형 8개입,15,0
P100001,FC,(1+1) 좋은느낌 입는 오버나이트 중형 8개입,10,0
P100002,FC,(1+1) 화이트 입는 오버나이트 대형 L 8개입 (EA),27,0
P100003,FC,(1+1) 화이트 입는 오버나이트 중형 M 8개입 (EA),12,0
P100004,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 대형 8개입,4,0
P100005,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 중형 8개입,5,0
P100006,FC,[1+1] 좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,24,15000
P100007,FC,[1+1] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,97,18660
P100008,FC,[대량발주] 택배파손_1224,1,35500
P100009,FC,[동일상품 1+1] 화이트 입는 오버나이트 대형 L 8개입,26,24800
P100010,FC,[동일상품 1+1] 화이트 입는 오버나이트 중형 M 8개입,15,24800
P100011,FC,[멤버십 가입선물] 라네이처 시그니처 팬티라이너 롱 28개입,1,7100
P100012,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,6,9167
P100013,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),15,7920
P100014,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X4,3,22000
P100015,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,4,15250
P100016,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),27,6913
P100017,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X4,12,6100
P100018,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,3,10600
P100019,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),23,6844
P100020,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X4,7,21200
P100021,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,5,8000
P100022,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입 (EA),27,5000
P100023,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입 X3,7,15000
P100024,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8매X3팩,18,18333
P100025,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 오버나이트 10매X3팩,14,17036
P100026,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,16,22275
P100027,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 입는 오버나이트 중형 8매X2팩,2,42600
P100028,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,13,21323
P100029,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,34,21547
P100030,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8매X3팩,23,17217
P100031,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 오버나이트 10매X3팩,25,16536
P100032,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,19,22926
P100033,FC,[중형8p증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,27,20533
P100034,FC,[중형8p증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,39,21831
P100035,FC,[할로윈에디션] 좋은느낌 라인프렌즈 유기농순면 뉴 수퍼롱오버 8개입 X 3팩 + 뉴 울트라 날개 중형 8매,33,18000
P100036,FC,[할로윈에디션] 좋은느낌 라인프렌즈 유기농순면 데일리 라이너 롱 36개입 X 3팩 + 뉴 울트라 날개 중형 8매,62,15532
P100037,FC,디펜드 맘스 안심 팬티 8개입,28,13964
P100038,FC,디펜드 맘스 안심패드 30개입,98,7944
P100039,FC,디펜드 스타일 언더웨어 남성용 슬림 대형 16개입 X 3,2,48240
P100040,FC,디펜드 스타일 언더웨어 남성용 슬림 대형 54매 (실속 점보팩),3,59940
P100041,FC,디펜드 스타일 언더웨어 남성용 슬림 중형 18개입 X 3,2,73980
P100042,FC,디펜드 스타일 언더웨어 남성용 슬림 중형 60매 (실속 점보팩),7,60600
P100043,FC,디펜드 스타일 언더웨어 여성용 슬림 대형 16개입 X 3,3,61240
P100044,FC,디펜드 스타일 언더웨어 여성용 슬림 대형 54매 (실속 점보팩),2,57240
P100045,FC,디펜드 스타일 언더웨어 여성용 슬림 중형 18개입 X 3,2,46980
P100046,FC,디펜드 스타일 언더웨어 여성용 슬림 중형 60매 (실속 점보팩),23,57600
P100047,FC,디펜드 안심플러스 언더웨어 중형 18개입 X 3,3,68880
P100048,FC,디펜드 안심플러스 언더웨어 중형 54매,9,57240
P100049,FC,라네이처 데일리라이너 롱 28개입,55,8253
P100050,FC,라네이처 데일리라이너 롱 28개입 X 3,6,15300
P100051,FC,라네이처 세트,9,35000
P100052,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입,5,14220
P100053,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA),15,8953
P100054,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA) X 3,26,0
P100055,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입,12,15142
P100056,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA),13,10938
P100057,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA) X 3,26,0
P100058,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입,9,8778
P100059,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA),12,9217
P100060,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA) X 3,24,0
P100061,FC,라네이처 시그니처 세트,4,38700
P100062,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입,4,12425
P100063,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA),5,9940
P100064,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA) X 3,22,0
P100065,FC,라네이처 시그니처 울트라슬림 날개 대형 10개입 (EA),4,8875
P100066,FC,라네이처 시그니처 울트라슬림 날개 소형 14개입 (EA),11,9682
P100067,FC,라네이처 시그니처 울트라슬림 날개 중형 12개입 (EA),6,14200
P100068,FC,라네이처 시그니처 팬티라이너 롱 28개입,2,10650
