input_row_index,대학코드,대학명,캠퍼스,지역,수능전형 상태,source_url,parse_source,parse_quality,source_table_indices,모집단위,전형구분,전형계열,전형요소_수능반영비율(%),전형요소_학생부반영비율(%),점수활용지표,반영점수 (총점),반영점수_산출식(환산계산식),국어_반영비율(%),수학_반영비율(%),영어_반영비율(%),탐구_반영비율(%),탐구_반영과목수,탐구_반영기준,선택과목_필수지정_여부,가산점_부여_내역,제2외국어/한문_탐구대체_여부,영어_반영방법,영어_등급별_환산표,한국사_반영방법,한국사_등급별_환산표(또는 가감점표)
0,2748,가야대학교,본교,경남,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0002748&searchSyr=2026,json,구조화 테이블 파싱,2.0,전 학과,전 전형,전체/혼합,70.0,30.0,,,,,,,,,,,,,등급별 환산점수,"[{""구분"":""영어"",""점수"":{""1등급"":280,""2등급"":274,""3등급"":268,""4등급"":262,""5등급"":256,""6등급"":250,""7등급"":244,""8등급"":237,""9등급"":231},""table_index"":4}]",가산점/환산점수,"[{""구분"":""한국사"",""점수"":{""1등급"":70,""2등급"":69,""3등급"":68,""4등급"":66,""5등급"":65,""6등급"":64,""7등급"":62,""8등급"":61,""9등급"":60},""table_index"":4}]"
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,3.0,전체 모집단위,,인문,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4","우수한 영역 순 35%, 25%, 20%","우수한 영역 순 35%, 25%, 20%","우수한 영역 순 35%, 25%, 20%",20 (1 과목 ),1,우수/상위 과목,"인문 전체 모집단위 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 20 (1 과목 ) 20 (1 과목 ) 필수",,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,3.0,전체 모집단위,,자연,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4","우수한 영역 순 35%, 25%, 20%","우수한 영역 순 35%, 25%, 20%","우수한 영역 순 35%, 25%, 20%",20 (1 과목 ),1,우수/상위 과목,"자연 전체 모집단위 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 우수한 영역 순 35%, 25%, 20% 20 (1 과목 ) 20 (1 과목 ) 필수",,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,3.0,"의예과 , 약학과 , 클라우드공학과",,자연,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4",25,30,20,25 (2 과목 ),2,2과목 반영,"자연 의예과 , 약학과 , 클라우드공학과 25 30 - 20 - 25 (2 과목 ) 필수",,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,3.0,한의예과,,자연,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4",25,30,20,25 (2 과목 ),2,2과목 반영,자연 한의예과 25 30 30 20 25 (2 과목 ) 25 (2 과목 ) 필수,,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,5.0,전체 모집단위,,인문,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )",,우수/상위 과목,"인문 전체 모집단위 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우...",,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
1,63,가천대학교,본교,경기,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000063&searchSyr=2026,json,구조화 테이블 파싱,5.0,전체 모집단위,,자연,100.0,,,,"(1 과목 ) 활용지표 표준점수 표준점수 변환표준점수 우수한 과목 표준점수 × 2 수능위주 ( 실기 ) ( 수능 60%, 실기 40%) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )","우수한 영역 순 50%, 30%, 20% (3 개영역 )",,우수/상위 과목,"자연 전체 모집단위 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우수한 영역 순 50%, 30%, 20% (3 개영역 ) 우...",,,비율반영,"[{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":4},{""구분"":""배점"",""점수"":{""1등급"":98,""2등급"":95,""3등급"":92,""4등급"":86,""5등급"":80,""6등급"":60,""7등급"":50,""8등급"":40,""9등급"":30},""table_index"":8}]",필수응시,
2,72,가톨릭관동대학교,본교,강원,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000072&searchSyr=2026,json,구조화 테이블 파싱,4.0,의학과 ( 의예과 ),,자연,100.0,,,"1,000 점",∑ [ 반영영역 백분위 ( 영어는 환산점수 * ) × 반영비율 ] × 10,20,30,20,30,2,평균,"탐구 선택과목 관련 조건 존재 / 의학과 ( 의예과 ) 필수 20% 필수 30% 필수 20% 필수 30% 필수 30% - 4 개영역 필수반영 ( 국어 · 수학 · 탐구 백분위 , 영어등급은 환산점수반영 ) - 가중치 ( ➀ or ➁ ) ➀ 과학탐구 2 개 과목 선택 시 2 개 과목 평...","- 4 개영역 필수반영 ( 국어 · 수학 · 탐구 백분위 , 영어등급은 환산점수반영 ) - 가중치 ( ➀ or ➁ ) ➀ 과학탐구 2 개 과목 선택 시 2 개 과목 평균 백분위의 5% ➁ 과학탐구 선택 2 개 과목중 화학 Ⅱ 또는 생명과학 Ⅱ 에 응시한 경우 2 개 과목 평균 백분위의 7%",,비율반영 / 등급별 환산점수,"[{""구분"":""환산 점수 모든 모집단위 ( 간호학과 제외 )"",""점수"":{""1등급"":100,""2등급"":98,""3등급"":95,""4등급"":92,""5등급"":89,""6등급"":86,""7등급"":83,""8등급"":80,""9등급"":78},""table_index"":6}]",,
2,72,가톨릭관동대학교,본교,강원,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000072&searchSyr=2026,json,구조화 테이블 파싱,4.0,간호학과,,자연,100.0,,,"1,000 점",∑ [ 반영영역 백분위 ( 영어는 환산점수 * ) × 반영비율 ] × 10,20,30,30,20,2,평균,"탐구 선택과목 관련 조건 존재 / 간호학과 필수 20% 필수 30% 필수 30% 필수 20% 필수 20% - 4 개영역 필수반영 ( 국어 · 수학 · 탐구 백분위 , 영어등급은 환산점수반영 ) - 가중치 : 과학탐구 2 개 과목 선택 시 2 개 과목 평균 백분위의 5% - 4 개영역 ...","- 4 개영역 필수반영 ( 국어 · 수학 · 탐구 백분위 , 영어등급은 환산점수반영 ) - 가중치 : 과학탐구 2 개 과목 선택 시 2 개 과목 평균 백분위의 5%",,비율반영 / 등급별 환산점수,"[{""구분"":""환산 점수 모든 모집단위 ( 간호학과 제외 )"",""점수"":{""1등급"":100,""2등급"":98,""3등급"":95,""4등급"":92,""5등급"":89,""6등급"":86,""7등급"":83,""8등급"":80,""9등급"":78},""table_index"":6}]",,
2,72,가톨릭관동대학교,본교,강원,수집완료,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&unvCd=0000072&searchSyr=2026,json,구조화 테이블 파싱,4.0,"모든 모집단위 [ 의학과 ( 의예과 ), 간호학과 제외 ]",,전체/혼합,100.0,,,"1,000 점",∑ [ 반영영역 백분위 ( 영어는 환산점수 * ) × 반영비율 ] × 10,40,40,20,40,,우수/상위 과목,"모든 모집단위 [ 의학과 ( 의예과 ), 간호학과 제외 ] 선택 40% 선택 40% 필수 20% 선택 40% 선택 40% 3 개영역 반영 ( 국어 · 수학 · 탐구 중 백분위 성적이 우수한 2 개 영역 , 영어등급은 환산점수반영 ) 3 개영역 반영 (...","3 개영역 반영 ( 국어 · 수학 · 탐구 중 백분위 성적이 우수한 2 개 영역 , 영어등급은 환산점수반영 )",,비율반영 / 등급별 환산점수,"[{""구분"":""환산 점수 모든 모집단위 ( 간호학과 제외 )"",""점수"":{""1등급"":100,""2등급"":98,""3등급"":95,""4등급"":92,""5등급"":89,""6등급"":86,""7등급"":83,""8등급"":80,""9등급"":78},""table_index"":6}]",,
